,Предложение_готовые
0,последний пребывать подавить эмоциональный состояние
1,позитивный человек любить улыбаться шутить
2,хотеться ощущение полный пустота жизнь
3,25 год
4,поцелуй мужчина
5,внешне вроде уродина плохой особенность мелкий миниатюрный рост 157 маленький грудь маленький талия из за выглядеть ребёнок одежда всячески пытаться скрыть
6,думать отпугивать взрослый мужчина
7,время жизнь пытаться познакомиться молчать что то серьёзный
8,общение видеть мужчина посыл ты приятный человек девушка
9,понимать инстаграммный красотка полно красивый девушка фон проигрывать
10,мечтать пластика
11,нахлынуть так
12,суждено я
13,хотеться любимый кто то обнимать иногда
14,пересилить себя лезть мужчина навязываться брать инициатива рука
15,прощупывать почва смотреть реакция видеть отходить
16,девушка
17,житься
18,мужчина должный брать ответственность
19,связываться женщина обязать понимать намерить тратить впустую свой время
20,мужчина решить основать отношение пусть добрый проявлять забота материальный говорить полный лежебока сидеть диван ничто заниматься хозяйство
21,основной доход приносить мужчина ибо отродясь являться неотъемлемый кормилец семья
22,брак позволительно жмотиться финансы
23,поскольку ребёнок общий принимать участие содержание должный родитель невзирая то муж работать
24,соизволить положить тяжкий груз измученный жена роды раскрутить больший алименты
25,противный случай засадить решётка
26,мужчина думать ваш жизнь вечно присутствовать халява
27,связываться дама низкий социальный ответственность
28,вибратор купить что
29,малообеспеченный карьера 300 нужный
30,брак взаимовыгода
31,бок бок ущерб нецелесообразный
32,многие мужчина мечтать применять качество резиновый зина постель обязательство
33,нет ошибиться получиться
34,женщина прочить честь достоинство который 21 век женщина хотеть швырять растерзание всякий альфонс
35,привет
36,28 год выйти замуж любовь полтора назад
37,ребёнок месяц
38,тот знать быть
39,муж равнодушный к я
40,добрый слово адрес комплимент поцелуй
41,жить брат сестра
42,секс редко мой инициатива
43,по другой женатый ребёнок
44,муж хороший помогать ребёнок работать пить 100 никто нет
45,работа домой свободный мы
46,спокойный конфликтный
47,пытаться разговаривать пытаться вывести эмоция вроде понимать право неделя меняться обратно равнодушие холод
48,устать недолюбить
49,чувствовать женщина желанный
50,жить мужчина всё
51,остальной конфликт нет
52,дерзить себя
53,поделиться
54,глупо просить любовь человек желание обнять я поцеловать
55,жить сосед
56,посоветовать быть
57,девочка кто то подобный ситуация
58,встречаться мужчина
59,развести
60,говорить перепутать влюблённость любовь быстро жениться жить ради ребёнок какой то время развестись
61,прекрасно
62,заботливый воспитанный идиллия весь
63,вместе правда жить причина тот пожилой родитель
64,хотеть бросать
65,проблема мой мужчина тот скорее любить
66,говорить
67,точнее говорить чувство есть близкий человек единственный самый хороший нужный он жить
68,слово любовь признание избегать
69,всячески любить аналог заменять
70,как то унизительно нелюбимый женщина
71,более то любить он
72,хотеть кричать это
73,намекать всячески чувство большой серьёзный
74,взаимно
75,первый признаться конец неправильно
76,быть
77,смысл терять такой человек нет болеть внутри тот любим
78,знать мужчина любить
79,21 32 встречаться год последний месяц говорить любить привычка жениться я любить искренне расставаться раз сердце лежать
80,последний искать повод побыть полчаса он
81,внутри сжиматься знать к чувствовать
82,пример звонить раз день брать трубка написать заходить ответить прочитать тишина вечером спросить смочь приехать сегодня поговорить кофе попить спросить зачем катать собираться дело
83,самооценка вера хороший падать плинтус
84,перестать писать звонить появиться неделя написать пропасть резко появиться чувство
85,хотеть написать плохой основный понимать находиться больной отношение разрушать больница лежать еле набрать вес потерять 27 кг
86,ходить психолог помочь скорее слушать понимать помочь
87,писать сюда монолог чувствовать психопатка
88,бесить свекровь родственник
89,скоро ум сойти родственник
90,выйти семья обеспечить он вырасти папа
91,мама впахивала всё амёба вырастить брат содержать
92,брат 21 год голова гулянка вечно мой муж напрягать дать деньга отвезти забрать
93,отказывать хотеть
94,брат же
95,однушко ютиться
96,пожениться квартирка отдельный машина дача гараж появиться благодаря мама мой
97,рада упускать случай помощь нужный
98,дочий мес свекруха собачка резиновый подарить банк питание мелочь
99,слышный дать
100,предел
101,делать
102,представлять переезжать старинный просторный избушка зеленной местечко оживлённый местонаселение
103,работать удалённый зарабатывать ремонт удобство
104,постепенно знакомиться местный население узнавать находиться стык мир
105,появляться друг тим элисон не спрашивать знать звать
106,тим охотник потерять родитель ребёнок воспитывать брат
107,элисон учиться швея счастливый ребёнок умереть мама непонятно перейти воспитание бабушка жить ближайщий город ветер общежитие
108,ух видеть родитель проблема
109,тим верный пёс бой тим повсюду сопровождать
110,кот феня сопровождать стестняться выражать мой решение думать
111,мир домашний животное сопровождать хозяин
112,тусоваться справлять всякий разный волшебный праздник мир например праздник летать фонарь
113,путешествовать окрестность бывать красный земля красный гора
114,уютный дорога постоялый двор усталый путник
115,элисон хотеть местность собрать редкий цветок порошок использоваться водонепроницаемый ткань
116,тим желать дракон больший редкость несколько десяток год показываться человек
117,короче весело жить
118,овен
119,гневно возмущаться недоверчивость обвинить бесчувственность отсутствие воображение
120,сильно ошибаться
121,наделить прекрасный живой воображение настолько скрытный считать ужасно прозаичный
122,любить выставлять напоказ блестящий ум тайный мысль
123,появиться он лихой великолепный овен возникнуть чувство особенный
124,согреть холодное сердце дева сделать уверенный себя когда либо
125,он остальной обвинять отсутствие воображение бесчувственность
126,мочь бесчувственный
127,внутренний женщина заполнить воображать волшебный создание
128,прекрасный чудо видеть красота малый обыденный
129,мужчина овен любящий она по настоящий понять это прекратить кричать унижать поведать несбыточный желание тайный фантазия нежный ласковый открыть страх вместо тот прятать обида душа
130,да многое научиться он
131,симорон всякий обряд помогать вера то желание сбыться
132,важно
133,человек появляться уверенность спрыгнуть унитаз скоро жизнь произойти чудо
134,чудо происходить
135,прыгать думать интересно получиться ли сбыться получаться
136,зеланда советовать завести талисман приносить любовь удача нужно
137,любой предмет опять помочь симоронский ритуал сеточка ловля муж коробочка сокровище простой украшение камешек угодный
138,должный верить вещица приносить желаемый
139,самый наделять вещь фантомный энергия помогать приносить удача
140,гость наивность удивлять
141,врать распускать хвост юбка скорее снять
142,нормально
143,развести телок кайф откровенный лох
144,нет мочь вид мол где то далёкий далёкий галактика чудо прынец честной открытый наивный чистый ребёнок ага такой быть детство время умнеть обзавестись рог хвост
145,зз исключение
146,воображать мир
147,говорить плохо
148,жить жизнь фантазия до
149,псих
150,значит неадекватный
151,знать успешный человек фантазёр выдавать желаемый действительный держаться успех
152,бизнес любой авантюра
153,полный данные принять разумный обоснованный решение
154,вставать утро торкнуть вперёд выйти не выйти
155,мужчина должный
156,ныть армия то плохо женщина должный служить армия придумать мужчина мужчина
157,инстинкт заставлять биться чужой территория
158,мужской прихоть служить армия
159,придумать злиться женщина
160,ныть она забеременеть хотеть ребёнок согласный аборт платить хотелок нести ответственность решение благо правительство отбить сидеть понимать хотелок секс твой решение предохраняться зачать ребёнок
161,право обязать лишать ребёнок жизнь только разочек повеселиться хотеться
162,обязать платить алименты твой решение зачать
163,обязать растить деньга нести ответственность решение
164,верещать меркантильность женщина несогласие извращение постель вкусный еда непокорность что то послушать женщина хотеть
165,главное бесплатно
166,любимый фраза должный что то взамен женщина многое требовать хотеть
167,мужчина форум осмеливаться вякать мужчина главный должный подчиняться
168,жаловаться современный женщина мужчина относиться раб
169,нравиться женщина учитывать мнение унижать вы
170,то сталкиваться женщина век
171,черёд мужчина прогибаться
172,любезный платить девушка уступать место носить тяжесть бить ответ
173,решить нарушить правило мужчина объяснить женщина обращаться
174,задумать природа рожать ребёнок мужчина ребёнок кормить защищать
175,женщина спасать первый правильно
176,говорить главный
177,главный женщина рожать ребёнок
178,понятно
179,добрый
180,сила бороться
181,33
182,муж больший проблема
183,уходить семья приходить
184,жить сосед контакт идти
185,ходить чёрный туча ребёнок общаться родитель общаться
186,секс месяц
187,говорить хотеть
188,ходить психолог
189,34
190,11 жить
191,любовь страсть ребёнок погодка путешествие
192,самый обидный понимать сломаться
193,говорить я
194,потерять
195,телефон прятать
196,подозревать кто то
197,беспокоить ухудшиться самочувствие
198,утро встать кровать дом мысль голова лезть плохой удерживать ребёнок
199,автомат
200,вечер тупо потолок
201,голова понимать нельзя плохой ребёнок поделать
202,говорить муж уходить хотеть отпускать мир желать счастие
203,уходить
204,уходить неделя оставаться ребёнок переночевать ночь
205,считать умный женщина психолог понимать
206,справиться депрессия дать дельный совет
207,разрыв шаблон мой жизнь посещение африка
208,многие убедить опасно всякий вирус малярия
209,ерунда
210,африка огромный континент прекрасный природа прекрасный звёздный небо
211,восторг обязательно вернуться туда
212,казаться побывать место тронутый цивилизация
213,кстати африка встретить русский
214,немец француз кто то по русски
215,разочаровать марракеш
216,сузить страна человек
217,арабский страна жить непростой
218,есть например амман иордания житель основное гостеприимный приветливый
219,марракеш агрессивный
220,местный житель начинать бить палка то фотографировать предупреждение ужасно
221,тот постоянно пытаться обмануть местный торговец раз завышать цена обсчитывать
222,поэтому марракеш возвращаться хотеть
223,самый касаться каир прекрасный грязно неприятно
224,безумно любить южный америка правда аккуратный
225,например перу энергетически сильный место
226,чувствительный понимать хорошо плохо начеку
227,перу
228,шаман дух
229,прислушиваться к весь происходить
230,подойти попросить деньга
231,местный житель магия абсолютно нормально
232,сходить колдун обычный
233,самый ценный человек встречаться разный уголок земля
234,разный история
235,обычный водитель тунис слово по новый понимать
236,называть учитель
237,советовать брать путешествие лекарство
238,собрать небольшой аптечка обязательно должный быть антибиотик энтеросорбент при отравление что то диарея
239,пить вода
240,группа периодически случаться форс мажор кто то заболевать обходиться госпитализация
241,единственный неприятно работа
242,видеть какой состояние команда мотор отработать кадр бывало
243,тканевый маска крем ночной дневный маска уезжать
244,крем лицо must have
245,никакой омолаживать процедура уход кожа использовать корейский крем маска
246,ходить спа укладка мейкап
247,поездка визажист
248,поправиться
249,видимо сказываться перелёт неправильный питание дорога
250,стать заниматься спорт вес продолжать прибавляться
251,дело перелёт сильно дисбалансировать организм
252,понадобиться месяц убрать лишний вес вред здоровье спорт здоровый питание
253,путь свой идеальный тело
254,есть сладкое заниматься спорт есть мясо жирный мучной позволить хлеб утро
255,москва заниматься тренер ходить йог
256,поездка бегать выполнять кардиоупражнение
257,видеть полненький человек спортзал хотеться обнять прижать
258,понимать трудно бороться лишний вес
259,рвение уважать
260,главное останавливаться
261,духовный рост начаться осознание смерть
262,взрослый почему то конечность бытие задумываться
263,понять умереть исчезнуть навсегда смотреть иначе
264,атеистка увлекаться философия читать шопенгауэр
265,стать искать религия
266,ищущий
267,важно услышать
268,находить время побыть наедине
269,помогать медитация
270,безумно хотеть пройти випассан
271,випассан практиковаться везде подмосковье лос анджелес
272,поездка где то неделя ашрам находиться ограниченный пространство другой человек группа насчитывать 30
273,разговаривать медитировать 10 час небольшой перерыв
274,выходить оттуда полный порядок голова
275,конечно тяжело внутри происходить изменение просвещение
276,счастие любовь внутри мы нужный какой то сторона ощутить
277,хотеть новый проект
278,хотеть кино театр
279,хотеть свой бренд
280,говорить дизайнер
281,трезво оценивать хотеть человек то нет доступный
282,хотеть семья
283,ребёнок хотеть
284,любить готовить переносить
285,понимать женщина важно готовить мужчина создавать уют
286,поглотить карьера
287,неправильно
288,работа поездка готовить друг
289,хотеться готовить семья
290,встретить маленький крепко обнять себя любовь
291,бы бог есть бояться
292,мечтать вперёд
293,получиться
294,19
295,тяжёлый детство развод родитель псих травма качественный психотерапия деньга нарастать снежный
296,изгой абсолютно везде семья общество
297,семья плохой отношение пытаться отстаивать личный граница устать совковый представитель ничто попрать
298,забить вытирать нога нутыжедевочка должный то должный это
299,любить старший брат который 25 год систематически прогуливать пара престижный универ работать кожа лезть оплатить учёба нуонжемальчик
300,родить функция приложение уборка готовка который параллельно заочка работать 12 час дабы зависеть родитель
301,менее семья ждать свалить
302,постоянно попрекать деньга еда сегодня съесть столько то дать столько то
303,полный отсутствие личный жизнь хотеться человек создать семья но понимать тот категория девушка ждать тот единственный 20 25 30 60
304,итог дожидаться
305,либо брать местный алкаш терпеливо терпеть побои дабы член
306,хотеть
307,притягивать противоположный пол
308,неинтересный
309,приятель молчать друг
310,единственный гордиться тем полностью выучить английский язык самостоятельно тем найти сила бросить ненавистный учёба колледж запихнуть родитель чисто потому пройти бесплатно ты врач врач бабушка врач выкинуть гитара микрофон позорить наш семья несерьёзно уйти туда хотеть музыкальный училище
311,да уйти
312,хотеть знаменитый англоязычный певица
313,хотеть
314,спустить небо земля
315,понимать невозможно
316,поздно
317,деньга раскрутка
318,любить
319,муж назвать конченый истеричка сказать заниматься секс из за имение хороший
320,сказать выводить шутка
321,типо хахах шутка повестись
322,ответ сказать секс потыкаться пара минута
323,мужской эго задеть
324,хотеть услышать ответ противный слово
