№,Предложение
1,Последнее время пребываю в подавленном эмоциональном состоянии.
2,"Сама по себе позитивный человек, люблю улыбаться, шутить."
3,"Но сейчас - ничего не хочется, ощущение полной пустоты жизни."
4,Мне 25 лет.
5,За это время не было даже поцелуя с мужчиной.
6,"Я внешне вроде бы не уродина, правда есть такая плохая особенность у меня -я вся мелкая и миниатюрная (рост 157), маленькая грудь, маленькая талия, из-за этого выгляжу как ребёнок, хотя одеждой всячески пытаюсь это скрыть."
7,"Думаю, это отпугивает от меня взрослых мужчин."
8,"За все время, в жизни со мной никто не пытался никогда познакомиться, молчу уже про что-то более серьёзное."
9,"Даже во время общения вижу от мужчины посыл «ты мне приятна как человек, но я с тобой не как с девушкой»."
10,"Я понимаю, что сейчас время инстаграммных красоток, что вокруг полно очень красивых девушек, я на их фоне проигрываю."
11,Мечтаю давно о пластике.
12,"Но просто иногда как нахлынет, ну почему так?"
13,Почему не суждено мне...
14,"Просто хочется быть любимой, чтобы кто-то хотя бы обнимал иногда..."
15,"Я не могу пересилить себя, чтобы самой лезть к мужчинам, навязываться, брать инициативу в свои руки."
16,"Я просто прощупываю почву, смотрю реакцию на себя и если вижу что нет - отхожу..."
17,Есть ли тут такие девушки?
18,Как вам живётся?
19,Мужчины должны брать ответственность на себя
20,"Связываясь с женщиной, он обязан понимать, что она не намерена на него тратить впустую своё время."
21,"Если мужчина уже решил основать с ней отношения, то пусть будет добр проявлять о ней заботу материальную, хотя не говорю, что ей надо быть полной лежебокой, которая сидит на диване и ничем не заниматься даже по хозяйству."
22,"Основной доход должен приносить именно мужчина, ибо он отродясь является неотъемлемым кормильцем в семье."
23,Даже не в браке ему не позволительно жмотиться на финансах.
24,"Поскольку ребёнок общий, то принимать участие в содержании должны оба родителя, невзирая на то, что муж работает."
25,"А если соизволил положить этот тяжкий груз на без того измученную жену после родов, то раскрутить на большие алименты."
26,В противном случае засадить за решётку.
27,"Мужчины, не думаете, что в вашей жизни вечно будет присутствовать халява."
28,За просто так с вами связываться не будут дамы даже с низкой социальной ответственностью.
29,"Вибратор всегда можно купить, если что."
30,"Малообеспеченные, без карьеры вы 300 лет нам не нужны."
31,В браке всегда имеет место быть взаимовыгода.
32,А жить бок о бок в ущерб себе - слишком нецелесообразно.
33,Многие мужчины мечтают применять нас в качестве резиновых зин в постели и без обязательств.
34,Но нет😁 Вы ошиблись😁 Так не получится))
35,"У женщин между прочим тоже есть честь и достоинство, которое в 21 веке всё меньше женщин хотят швырять на растерзание всяким альфонсам."
36,Всем привет.
37,"Мне 28 лет, вышла замуж по любви полтора года назад."
38,Ребёнку 8 месяцев.
39,"Дело в том, что я не знаю как мне быть."
40,Мой муж равнодушен ко мне.
41,"Ни доброго слова в мой адрес, ни комплимента, ни поцелуя."
42,Живём как брат и сестра.
43,"Секс редко, только по моей инициативе."
44,"Раньше было по-другому, когда не были женаты и не было ребёнка."
45,"Как муж он хороший, помогает мне с ребёнком, работает, не пьёт, 100% у него никого нет."
46,"После работы сразу домой, все свободное время с нами."
47,"Он очень спокойный, не конфликтный."
48,"Пыталась с ним разговаривать, пыталась вывести на эмоции, вроде как понимает, что не прав, неделю как меняется, потом обратно равнодушие и холод."
49,Устала быть недолюбленной.
50,"Я не чувствую себя женщиной, желанной."
51,Я просто живу с мужчиной и все.
52,В остальном конфликтов вообще нет.
53,Держу все в себе.
54,Не могу ни с кем поделиться.
55,"Глупо просить любви у человека, если у него нет желания даже просто обнять меня, поцеловать."
56,Живём как соседи.
57,"Посоветуйте, как мне быть?"
58,"Девочки, может быть кто-то был в подобной ситуации?!"
59,Уже несколько лет встречаемся с мужчиной.
60,Разведен.
61,"Говорит, что перепутал влюбленность с любовью, быстро слишком женился, потом жил ради ребенка какое-то время, но все же развелся..."
62,У нас с ним все прекрасно.
63,"Он такой заботливый, хорошо воспитанный, у нас идиллия во всем."
64,"Вместе, правда, пока не живём, по причине того, что у меня очень пожилые родители."
65,Не хочу их бросать...
66,"Проблема с моим мужчиной лишь в том, что он скорее всего меня не любит..."
67,Он никогда об этом не говорит.
68,"Точнее, всегда говорит, что чувства есть, что я ему близкий человек, что я единственная для него и самая лучшая, что очень нужна ему, что не может без меня жить..."
69,Но именно слов о любви и признаний он избегает.
70,"Всячески ""люблю"" аналогами заменяет."
71,Для меня как-то унизительно быть нелюбимой женщиной...
72,"Тем более, что я-то люблю его."
73,Хочу кричать об этом.
